streams,bpm,energy_%,speechiness_%
716591492,94,70,8
1210599487,93,78,24
246376690,130,76,7
496311364,180,61,6
146789379,134,31,3
843309044,95,89,25
500340342,184,63,31
107255472,147,80,38
135079152,123,60,3
822239726,123,61,22
1202722675,90,71,37
343197054,160,64,4
240769997,115,71,4
426204830,141,67,9
421135627,160,88,8
554875730,145,66,4
467727006,89,43,22
327498031,95,72,8
185408548,160,62,4
245400167,174,75,30
579395142,92,84,4
675039469,134,74,8
252871192,172,86,17
231996128,80,62,13
1929770265,150,60,12
918915401,80,74,21
1180896317,166,75,34
498960285,120,54,4
685071800,92,79,6
258714692,85,52,9
143139338,154,52,7
209768491,92,74,6
64714573,140,70,5
50746620,89,60,40
154119539,135,86,5
181328253,140,53,18
370068639,82,76,3
2280566092,79,45,3
563902868,88,63,12
317622165,139,38,4
291709698,124,83,7
203680270,80,55,21
81350745,120,51,40
282883169,80,46,3
64787943,117,86,24
2484812918,117,52,3
461437791,140,73,11
1439191367,99,77,5
759208783,93,87,5
368646862,106,20,3
299634472,124,63,22
756907987,95,70,4
682475162,96,53,8
546191065,92,73,8
229473310,124,37,28
202677468,72,44,4
121913181,71,20,3
208166039,135,57,8
527033089,95,70,24
94616487,71,74,40
394030335,180,68,37
193443895,150,58,9
299648208,189,44,4
182978249,85,64,4
319757142,140,45,3
109091573,81,70,20
153240879,104,65,4
346127840,129,44,6
312622938,94,80,4
2197010679,71,40,5
1200808494,146,46,6
797196073,103,88,8
1970673297,124,78,5
665765558,164,58,13
263779030,138,57,9
339473453,126,46,39
2204080728,103,65,4
2591224264,95,52,3
135444283,200,77,29
1457139296,129,52,4
236872197,98,43,14
694525298,107,56,10
240661097,174,83,4
421365166,92,67,14
349746291,90,83,5
255120451,147,69,4
190981339,143,55,12
924193303,101,71,3
305771063,118,71,4
273005485,98,74,6
89566512,138,46,6
677389855,114,62,4
75476209,180,64,8
408843328,145,57,3
187772591,115,64,4
178512385,82,84,23
101780047,166,61,34
118381354,92,79,16
146363130,108,44,6
126443991,84,45,3
157990698,95,91,4
176290831,135,45,27
1023187129,110,27,3
106933107,88,64,7
139193812,119,50,10
212234990,120,80,41
1714490998,122,80,6
197643795,98,75,8
807015863,140,84,6
933815613,116,81,4
499710590,124,49,21
120847157,105,72,15
53909146,118,58,3
2236667932,108,38,5
2123309722,100,38,44
301242089,140,66,14
723894473,109,74,7
237351106,101,74,27
461558540,78,90,31
417230415,93,55,5
156898322,87,83,43
127309180,153,78,35
313113297,142,59,5
173702135,96,43,21
271666301,125,78,33
305650299,85,65,5
123216717,140,57,9
479655659,196,79,20
126191104,134,43,9
344055883,103,62,38
338422004,130,67,5
68895644,108,69,36
86176890,123,71,46
403231558,152,69,6
319546754,108,60,4
61739839,72,47,36
283359161,121,65,7
76831876,138,82,29
283332261,188,50,6
307752576,110,85,21
279737940,105,79,8
212351890,118,70,31
1304313953,176,62,31
150500965,158,65,8
246127838,115,58,12
582863434,110,82,3
58687425,174,54,32
212109195,130,96,9
382199619,78,54,5
41210087,104,42,9
231657891,121,88,6
53729194,105,82,4
244741137,81,66,8
42485571,170,24,4
37778188,78,38,38
254218729,125,66,31
53603447,92,65,7
160035717,140,42,9
164163229,96,90,9
37091576,118,43,19
284249832,92,60,4
33381454,140,37,35
184622518,174,71,25
300983101,127,78,4
121077868,96,52,36
106919680,150,66,6
136996305,100,60,16
65719930,105,81,6
229497852,104,62,14
185550869,154,79,5
54682594,80,83,5
240580042,150,43,3
1284942608,156,72,4
71423324,98,81,34
244891912,92,36,3
132171975,144,50,4
184706613,150,56,3
184826429,138,44,39
302006641,172,89,19
330881149,77,82,17
334733572,107,72,4
366214458,114,29,4
114546317,117,51,4
290833204,146,45,4
448500832,160,60,26
136676504,120,56,6
190625045,100,70,5
79095270,158,84,11
273194684,142,54,4
333146475,170,85,14
194902696,84,86,25
311482393,139,46,3
195918494,151,67,5
248511839,128,75,6
233671263,118,54,5
199587884,183,72,3
91781263,83,62,4
383835984,122,80,14
236060709,165,48,23
189236868,106,64,4
160845341,77,58,34
588955257,91,89,8
238350348,148,63,3
187703102,114,81,3
295307001,120,77,5
138334433,92,82,5
445590495,118,45,3
286739476,123,71,4
1122364376,89,48,3
157136970,110,93,11
137070925,118,20,4
183273246,90,76,20
184807630,130,40,3
164856284,154,62,4
704171068,105,83,4
354614964,115,88,8
279717388,110,82,8
195628667,125,68,6
221752937,102,75,8
263280370,120,65,4
213505179,97,86,5
130419412,140,92,7
155795783,97,72,4
1553497987,125,90,5
293466523,88,56,9
711366595,170,64,7
191448892,137,49,14
85924992,157,69,23
176103902,130,57,25
