Year,Avg_Valence,Avg_BPM,Avg_Liveness,Avg_Energy,Events
2012,49.3,142.8,18.0,62.8,"Nirbhaya Case, Kim JongUnknownun Assumes Power, Supreme Court Upholds Obamacare, Hurricane Sandy, 2012 London Olympics, Costa Concordia Shipwreck, Coup d'état, Seleka Rebellion Begins, Nationalization of YPF"
2013,53.61538461538461,120.07692307692308,17.615384615384617,63.92307692307692,"2013 Uttarakhand Floods, Belt and Road Initiative Announced, Xi Jinping Assumes Presidency, Royal Commission into Institutional Responses..., Black Lives Matter Movement, SameUnknownSex Marriage Legalized, Madrid's Bid for 2020 Olympics, Jorge Mario Bergoglio becomes Pope Francis"
2014,47.53846153846154,106.0,16.0,65.46153846153847,"Indian Mars Orbiter Mission Success, Start of Swachh Bharat Mission, Operation ZarbUnknowneUnknownAzb, 2014 Peshawar School Massacre, Malala Yousafzai's Nobel Peace Prize, National Action Plan Against Terrorism, Russia's Annexation of Crimea, Repeal of Carbon Tax, ISIS Captures Mosul, Malaysia Airlines Flight MH370 Disappearance, AirAsia Flight QZ8501, MV Sewol Ferry Sinking, SameUnknownSex Marriage Legalized, Scottish Independence Referendum, Fall of Blaise Compaoré, Operation Car Wash (Lava Jato)"
2015,37.36363636363637,127.36363636363636,18.272727272727273,61.81818181818182,"Historic Solar Alliance Initiative, ChinaUnknownPakistan Economic Corridor (CPEC) Agreement, Made in China 2025 Initiative Announced, Intervention in the Syrian Civil War, JapanUnknownKorea Comfort Women Agreement, Saudi Intervention in Yemen, 1MDB Scandal, SameUnknownSex Marriage Legalization, Murdered and Missing Indigenous Women Inquiry, Expo 2015 in Milan, Zika Virus Outbreak, Refugee Crisis"
2016,45.44444444444444,126.94444444444444,17.444444444444443,63.166666666666664,"India's Demonetisation Campaign, Introduction of UPI (Unified Payment Interface), Jio Telecom Launch, 2016 Uri Attack and Subsequent Surgical Strikes, South China Sea Arbitration Ruling, Historic US Presidential Visit to Vietnam, Vision 2030 Announced, Death of Islam Karimov, Release of Political Prisoners, Fort McMurray Wildfire, Brexit Referendum, Theresa May becomes Prime Minister, Dilma Rousseff's Impeachment"
2017,43.0,119.0,14.043478260869565,60.73913043478261,"GST (Goods and Services Tax) Implementation, Panama Papers Case & Disqualification of PM Nawaz Sharif, SameUnknownSex Marriage Legalization, THAAD Deployment Controversy, Vietnam Hosts APEC Summit, Typhoon Damrey Strikes Vietnam, AntiUnknownCorruption Campaign, RitzUnknownCarlton Riyadh Detentions, Currency Convertibility Introduced, USUnknownMexico Border Wall Expansion, #MeToo Movement, Charlottesville Rally and Violence, US Recognition of Jerusalem as Israel's Capital, Grenfell Tower Fire, Catalan Independence Referendum, Coup d'état Leads to Mugabe's Resignation"
2018,36.2,115.3,17.3,50.9,"India's First Hyperloop Project Announcement, Statue of Unity Unveiled, Decriminalisation of Section 377, FATF Grey List, Imran Khan Elected as Prime Minister, Abolition of FATA, Skripal Poisoning Incident, 2018 InterUnknownKorean Summit, Women Allowed to Drive, Khashoggi Assassination, Political Crisis and State of Emergency, US Withdrawal from the JCPOA, Presidential Election Victory of Ibrahim Solih, Pakatan Harapan Electoral Victory, Tham Luang Cave Rescue, Cannabis Legalization, Yellow Vest Protests, France Wins the 2018 FIFA World Cup, Women's Rights March, NoUnknownConfidence Vote Against Rajoy, Appointment of Abiy Ahmed, Sudanese Revolution, Economic Crisis and IMF Loan"
2019,40.416666666666664,118.36111111111111,16.444444444444443,59.583333333333336,"Article 370 Revocation for Jammu & Kashmir, Supreme Court Verdict on Ayodhya, Triple Talaq Bill Passed, Abolition of Instant Triple Talaq, Pulwama Terrorist Attack, Citizenship Amendment Act (CAA) Implementation, Kartarpur Corridor Opening, 2019 Pulwama Attack and IndiaUnknownPakistan Standoff, 2019 Easter Bombings, Emperor Akihito's Abdication, Reiwa Era Begins, Protests Against Corruption and Unemployment, Presidential Transition, NotreUnknownDame de Paris Fire, Exhumation of Francisco Franco, Hirak Protest Movement, Nairobi's DusitD2 Complex Attack, Cyclone Idai, Amazon Rainforest Wildfires, Bolsonaro Presidency Begins"
2020,51.027027027027025,118.02702702702703,19.56756756756757,66.43243243243244,"Ram Mandir Bhoomi Pujan, India's First Transgender University, Nationwide Lockdown due to COVIDUnknown19, Asiatic Lion Census Showing Population Increase, Chang'eUnknown5 Moon Mission Success, Comprehensive Agreement on Investment with the EU, 2020 Tokyo Olympics Postponement, COVIDUnknown19 Pandemic Response, G20 Summit Hosted in Riyadh, Decriminalization of Homosexuality, George Floyd Protests and Derek Chauvin Trial, COVIDUnknown19 Pandemic in the UK, UK Authorizes COVIDUnknown19 Vaccine, Tigray Conflict Begins, #EndSARS Protests, Juba Peace Agreement, Legalization of Abortion"
2021,52.52100840336134,125.83193277310924,16.857142857142858,63.890756302521005,"First Mars Helicopter Flight, Capitol Riot, Paris Agreement Rejoining, January 6 Capitol Attack, Withdrawal from Afghanistan, First Woman Vice President Elected, Launch of James Webb Space Telescope, Prince Philip's Death, 2021 General Elections, Death of President Idriss Déby"
2022,51.49004975124378,122.0049751243781,18.492537313432837,63.582089552238806,"Launch of 5G Services, Supreme Court Overturns Roe v. Wade"
2023,55.08,124.06285714285714,19.742857142857144,68.22285714285714,
